Date,Price
01/15/2010,1136
01/14/2010,1148.5
01/13/2010,1145.7
01/12/2010,1136.2
01/11/2010,1147
01/08/2010,1145
01/07/2010,1141.7
01/06/2010,1137.1
01/05/2010,1136.5
01/04/2010,1133
12/31/2009,1115.1
12/30/2009,1126.4
12/29/2009,1126.2
12/28/2009,1127.8
12/24/2009,1126.5
12/23/2009,1120.6
12/22/2009,1118
12/21/2009,1114
12/18/2009,1102.5
12/17/2009,1096.1
12/16/2009,1109.2
12/15/2009,1107.9
12/14/2009,1114.1
12/11/2009,1106.4
12/10/2009,1102.3
12/09/2009,1096
12/08/2009,1091.9
12/07/2009,1103.2
12/04/2009,1106
12/03/2009,1099.9
12/02/2009,1109.2
12/01/2009,1108.9
11/30/2009,1095.6
11/27/2009,1091.5
11/25/2009,1110.6
11/24/2009,1105.7
11/23/2009,1106.2
11/20/2009,1091.4
11/19/2009,1094.9
11/18/2009,1109.8
11/17/2009,1110.3
11/16/2009,1109.3
11/13/2009,1093.5
11/12/2009,1087.2
11/11/2009,1098.5
11/10/2009,1093
11/09/2009,1093.1
11/06/2009,1069.3
11/05/2009,1066.6
11/04/2009,1046.5
11/03/2009,1045.4
11/02/2009,1042.9
10/30/2009,1036.2
10/29/2009,1066.1
10/28/2009,1042.6
10/27/2009,1063.4
10/26/2009,1067
10/23/2009,1079.6
10/22/2009,1092.9
10/21/2009,1081.4
10/20/2009,1091.1
10/19/2009,1097.9
10/16/2009,1087.7
10/15/2009,1096.6
10/14/2009,1092
10/13/2009,1073.2
10/12/2009,1076.2
10/09/2009,1071.5
10/08/2009,1065.5
10/07/2009,1057.6
10/06/2009,1054.7
10/05/2009,1040.5
10/02/2009,1025.2
10/01/2009,1029.8
09/30/2009,1057.1
09/29/2009,1060.6
09/28/2009,1063
09/25/2009,1044.4
09/24/2009,1050.8
09/23/2009,1060.9
09/22/2009,1071.7
09/21/2009,1064.7
09/18/2009,1068.3
09/17/2009,1065.5
09/16/2009,1068.8
09/15/2009,1052.6
09/14/2009,1049.3
09/11/2009,1042.7
09/10/2009,1044.1
09/09/2009,1033.4
09/08/2009,1025.4
09/04/2009,1016.4
09/03/2009,1003.2
09/02/2009,994.8
09/01/2009,998
08/31/2009,1020.6
08/28/2009,1028.9
08/27/2009,1031
08/26/2009,1028.1
08/25/2009,1028
08/24/2009,1025.6
08/21/2009,1026.1
08/20/2009,1007.4
08/19/2009,996.5
08/18/2009,989.7
08/17/2009,979.7
08/14/2009,1004.1
08/13/2009,1012.7
08/12/2009,1005.8
08/11/2009,994.4
08/10/2009,1007.1
08/07/2009,1010.5
08/06/2009,997.1
08/05/2009,1002.7
08/04/2009,1005.6
08/03/2009,1002.6
07/31/2009,987.5
07/30/2009,986.8
07/29/2009,975.1
07/28/2009,979.6
07/27/2009,982.2
07/24/2009,979.3
07/23/2009,976.3
07/22/2009,954.1
07/21/2009,954.6
07/20/2009,951.1
07/17/2009,940.4
07/16/2009,940.7
07/15/2009,932.7
07/14/2009,905.8
07/13/2009,901
07/10/2009,879.1
07/09/2009,882.7
07/08/2009,879.6
07/07/2009,881
07/06/2009,898.7
07/02/2009,896.4
07/01/2009,923.3
06/30/2009,919.3
06/29/2009,927.2
06/26/2009,918.9
06/25/2009,920.3
06/24/2009,900.9
06/23/2009,895.1
06/22/2009,893
06/19/2009,921.2
06/18/2009,918.4
06/17/2009,910.7
06/16/2009,912
06/15/2009,923.7
06/12/2009,946.2
06/11/2009,944.9
06/10/2009,939.1
06/09/2009,942.4
06/08/2009,939.1
06/05/2009,940.1
06/04/2009,942.5
06/03/2009,931.8
06/02/2009,944.7
06/01/2009,942.9
05/29/2009,919.1
05/28/2009,906.8
05/27/2009,893.1
05/26/2009,910.3
05/22/2009,887
05/21/2009,888.3
05/20/2009,903.5
05/19/2009,908.1
05/18/2009,909.7
05/15/2009,882.9
05/14/2009,893.1
05/13/2009,883.9
05/12/2009,908.4
05/11/2009,909.2
05/08/2009,929.2
05/07/2009,907.4
05/06/2009,919.5
05/05/2009,903.8
05/04/2009,907.2
05/01/2009,877.5
04/30/2009,872.8
04/29/2009,873.6
04/28/2009,855.2
04/27/2009,857.5
04/24/2009,866.2
04/23/2009,851.9
04/22/2009,843.5
04/21/2009,850.1
04/20/2009,832.4
04/17/2009,869.6
04/16/2009,865.3
04/15/2009,852.1
04/14/2009,841.5
04/13/2009,858.7
04/09/2009,856.6
04/08/2009,825.2
04/07/2009,815.5
04/06/2009,835.5
04/03/2009,842.5
04/02/2009,834.4
04/01/2009,811.1
03/31/2009,797.9
03/30/2009,787.5
03/27/2009,815.9
03/26/2009,832.9
03/25/2009,813.9
03/24/2009,806.1
03/23/2009,822.9
03/20/2009,768.5
03/19/2009,784
03/18/2009,794.4
03/17/2009,778.1
03/16/2009,753.9
03/13/2009,756.5
03/12/2009,750.7
03/11/2009,721.4
03/10/2009,719.6
03/09/2009,676.5
03/06/2009,683.4
03/05/2009,682.5
03/04/2009,712.9
03/03/2009,696.3
03/02/2009,700.8
02/27/2009,735.1
02/26/2009,752.8
02/25/2009,764.9
02/24/2009,773.1
02/23/2009,743.3
02/20/2009,770
02/19/2009,778.9
02/18/2009,788.4
02/17/2009,789.2
02/13/2009,826.8
02/12/2009,835.2
02/11/2009,833.7
02/10/2009,827.2
02/09/2009,869.9
02/06/2009,868.6
02/05/2009,845.9
02/04/2009,832.2
02/03/2009,838.5
02/02/2009,825.4
01/30/2009,825.9
01/29/2009,845.1
01/28/2009,874.1
01/27/2009,845.7
01/26/2009,836.6
01/23/2009,832
01/22/2009,827.5
01/21/2009,840.2
01/20/2009,805.2
01/16/2009,850.1
01/15/2009,843.7
01/14/2009,842.6
01/13/2009,871.8
01/12/2009,870.3
01/09/2009,890.4
01/08/2009,909.7
01/07/2009,906.6
01/06/2009,934.7
01/05/2009,927.5
01/02/2009,931.8
12/31/2008,903.2
12/30/2008,890.6
12/29/2008,869.4
12/26/2008,872.8
12/24/2008,868.1
12/23/2008,863.2
12/22/2008,871.6
12/19/2008,887.9
12/18/2008,885.3
12/17/2008,904.4
12/16/2008,913.2
12/15/2008,868.6
12/12/2008,879.7
12/11/2008,873.6
12/10/2008,899.2
12/09/2008,888.7
12/08/2008,909.7
12/05/2008,876.1
12/04/2008,845.2
12/03/2008,870.7
12/02/2008,848.8
12/01/2008,816.2
11/28/2008,896.2
11/26/2008,887.7
11/25/2008,857.4
11/24/2008,851.8
11/21/2008,800
11/20/2008,752.4
11/19/2008,806.6
11/18/2008,859.1
11/17/2008,850.8
11/14/2008,873.3
11/13/2008,911.3
11/12/2008,852.3
11/11/2008,899
11/10/2008,919.2
11/07/2008,931
11/06/2008,904.9
11/05/2008,952.8
11/04/2008,1005.8
11/03/2008,966.3
10/31/2008,968.8
10/30/2008,954.1
10/29/2008,930.1
10/28/2008,940.5
10/27/2008,848.9
10/24/2008,876.8
10/23/2008,908.1
10/22/2008,896.8
10/21/2008,955
10/20/2008,985.4
10/17/2008,940.5
10/16/2008,946.4
10/15/2008,907.8
10/14/2008,998
10/13/2008,1003.4
10/10/2008,899.2
10/09/2008,909.9
10/08/2008,984.9
10/07/2008,996.2
10/06/2008,1056.9
10/03/2008,1099.2
10/02/2008,1114.3
10/01/2008,1161.1
09/30/2008,1166.4
09/29/2008,1106.4
09/26/2008,1213
09/25/2008,1209.2
09/24/2008,1185.9
09/23/2008,1188.2
09/22/2008,1207.1
09/19/2008,1255.1
09/18/2008,1206.5
09/17/2008,1156.4
09/16/2008,1213.6
09/15/2008,1192.7
09/12/2008,1251.7
09/11/2008,1249
09/10/2008,1232
09/09/2008,1224.5
09/08/2008,1267.8
09/05/2008,1242.3
09/04/2008,1236.8
09/03/2008,1275
09/02/2008,1277.6
08/29/2008,1282.8
08/28/2008,1300.7
08/27/2008,1281.7
08/26/2008,1271.5
08/25/2008,1266.8
08/22/2008,1292.2
08/21/2008,1277.7
08/20/2008,1274.5
08/19/2008,1266.7
08/18/2008,1278.6
08/15/2008,1298.2
08/14/2008,1292.9
08/13/2008,1285.8
08/12/2008,1289.6
08/11/2008,1305.3
08/08/2008,1296.3
08/07/2008,1266.1
08/06/2008,1289.2
08/05/2008,1284.9
08/04/2008,1249
08/01/2008,1260.3
07/31/2008,1267.4
07/30/2008,1284.3
07/29/2008,1263.2
07/28/2008,1234.4
07/25/2008,1257.8
07/24/2008,1252.5
07/23/2008,1282.2
07/22/2008,1277
07/21/2008,1260
07/18/2008,1260.7
07/17/2008,1260.3
07/16/2008,1245.4
07/15/2008,1214.9
07/14/2008,1228.3
07/11/2008,1239.5
07/10/2008,1253.4
07/09/2008,1244.7
07/08/2008,1273.7
07/07/2008,1252.3
07/03/2008,1262.9
07/02/2008,1261.5
07/01/2008,1284.9
06/30/2008,1280
06/27/2008,1278.4
06/26/2008,1283.2
06/25/2008,1322
06/24/2008,1314.3
06/23/2008,1318
06/20/2008,1317.9
06/19/2008,1342.8
06/18/2008,1337.8
06/17/2008,1350.9
06/16/2008,1360.1
06/13/2008,1360
06/12/2008,1339.9
06/11/2008,1335.5
06/10/2008,1358.4
06/09/2008,1361.8
06/06/2008,1360.7
06/05/2008,1404
06/04/2008,1377.2
06/03/2008,1377.7
06/02/2008,1385.7
05/30/2008,1400.4
05/29/2008,1398.3
05/28/2008,1390.8
05/27/2008,1385.3
05/23/2008,1375.9
05/22/2008,1394.3
05/21/2008,1390.7
05/20/2008,1413.4
05/19/2008,1426.6
05/16/2008,1425.3
05/15/2008,1423.6
05/14/2008,1408.7
05/13/2008,1403
05/12/2008,1403.6
05/09/2008,1388.3
05/08/2008,1397.7
05/07/2008,1392.6
05/06/2008,1418.3
05/05/2008,1407.5
05/02/2008,1413.9
05/01/2008,1409.3
04/30/2008,1385.6
04/29/2008,1390.9
04/28/2008,1396.4
04/25/2008,1397.8
04/24/2008,1388.8
04/23/2008,1379.9
04/22/2008,1375.9
04/21/2008,1388.2
04/18/2008,1390.3
04/17/2008,1365.6
04/16/2008,1364.7
04/15/2008,1334.4
04/14/2008,1328.3
04/11/2008,1332.8
04/10/2008,1360.5
04/09/2008,1354.5
04/08/2008,1365.5
04/07/2008,1372.5
04/04/2008,1370.4
04/03/2008,1369.3
04/02/2008,1367.5
04/01/2008,1370.2
03/31/2008,1322.7
03/28/2008,1315.2
03/27/2008,1325.8
03/26/2008,1341.1
03/25/2008,1353
03/24/2008,1349.9
03/20/2008,1329.5
03/19/2008,1298.4
03/18/2008,1330.7
03/17/2008,1276.6
03/14/2008,1288.1
03/13/2008,1315.5
03/12/2008,1308.8
03/11/2008,1320.7
03/10/2008,1273.4
03/07/2008,1293.4
03/06/2008,1304.3
03/05/2008,1333.7
03/04/2008,1326.8
03/03/2008,1331.3
02/29/2008,1330.6
02/28/2008,1367.7
02/27/2008,1380
02/26/2008,1381.3
02/25/2008,1371.8
02/22/2008,1353.1
02/21/2008,1342.5
02/20/2008,1360
02/19/2008,1348.8
02/15/2008,1350
02/14/2008,1348.9
02/13/2008,1367.2
02/12/2008,1348.9
02/11/2008,1339.1
02/08/2008,1331.3
02/07/2008,1336.9
02/06/2008,1326.5
02/05/2008,1336.6
02/04/2008,1380.8
02/01/2008,1395.4
01/31/2008,1378.5
01/30/2008,1355.8
01/29/2008,1362.3
01/28/2008,1354
01/25/2008,1330.6
01/24/2008,1352.1
01/23/2008,1338.6
01/22/2008,1310.5
01/18/2008,1325.2
01/17/2008,1333.2
01/16/2008,1373.2
01/15/2008,1381
01/14/2008,1416.2
01/11/2008,1401
01/10/2008,1420.3
01/09/2008,1409.1
01/08/2008,1390.2
01/07/2008,1416.2
01/04/2008,1411.6
01/03/2008,1447.2
01/02/2008,1447.2
